"Household ID","Walk"
"541770310","AU1-2"
"541782241","AU1-2"
"541837955","AU1-2"
"541848097","AU1-2"
"541919662","AU1-2"
"541973731","AU1-2"
"542051289","AU1-2"
"542180198","AU1-2"
"542292367","AU1-2"
"542375844","AU1-2"
"542413846","AU1-2"
"542456144","AU1-2"
"542557091","AU1-2"
"542726838","AU1-2"
"542906876","AU1-2"
"543932684","AU1-2"
"543203090","AU1-2"
"543250316","AU1-2"
"543301585","AU1-2"
"543461396","AU1-2"
"543518739","AU1-2"
"543300349","AU1-2"
"543569421","AU1-2"
"543599141","AU1-2"
"543639867","AU1-2"
"560078440","N1-1"
"566700821","N1-1"
"566975751","N1-1"
"566984591","N1-1"
"566986475","N1-1"
"567009625","N1-1"
"567086376","N1-1"
"567227592","N1-1"
"567238422","N1-1"
"567297704","N1-1"
"567457291","N1-1"
"567540477","N1-1"
"567797681","N1-1"
"567850356","N1-1"
"567859600","N1-1"
"567889039","N1-1"
"567916394","N1-1"
"567946873","N1-1"
"567960392","N1-1"
"567972552","N1-1"
"568171025","N1-1"
"568264482","N1-1"
"568312727","N1-1"
"568412724","N1-1"
"568418699","N1-1"
"568483263","N1-1"
"568580995","N1-1"
"568615381","N1-1"
"568788295","N1-1"
"568817329","N1-1"
"568855432","N1-1"
"568970761","N1-1"
"569083873","N1-1"
"569085378","N1-1"
"569113952","N1-1"
"569269519","N1-1"
"569272267","N1-1"
"569325710","N1-1"
"569475046","N1-1"
"567429195","N1-1"
"567883572","N1-1"
"572564342","N1-1"
"572602154","N1-1"
"572673781","N1-1"
"572706646","N1-1"
"572712818","N1-1"
"572740989","N1-1"
"572839855","N1-1"
"572840879","N1-1"
"572907343","N1-1"
"573064932","N1-1"
"573069647","N1-1"
"573191318","N1-1"
"573267607","N1-1"
"573312360","N1-1"
"573326726","N1-1"
"573457163","N1-1"
"573583497","N1-1"
"571224114","N1-1"
"571605064","N1-1"
"571812846","N1-1"
"573684007","N1-1"
"571843614","N1-1"
"571931380","N1-1"
"571936013","N1-1"
"573271141","N1-1"
"571978425","N1-1"
"572056297","N1-1"
"572172073","N1-1"
"572188170","N1-1"
"571250003","N1-1"
"572275732","N1-1"
"572360192","N1-1"
"572506700","N1-1"
